objectid,name,tile,nd_value,resolution,creationda,raster,fileurl,spec_type,qual,reg_src,num_gcps,meanresz,active,qc,rel_ver,num_comp,st_area_sh,st_length_
"14501",18_45_1_2_5m_v2.0,18_45,-9999.00000000000,5.00000000000,2017-05-23,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/18_45/18_45_1_2_5m_v2.0.tar.gz,DEM,0.99999945000,ICESat,"952",0.00800000000,"1","2","5","91",2500000000.00000000000,200000.00000000000
"14333",19_47_2_1_5m_v2.0,19_47,-9999.00000000000,5.00000000000,2017-05-24,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/19_47/19_47_2_1_5m_v2.0.tar.gz,DEM,0.97783818000,ICESat,"889",0.00300000000,"1","2","5","102",2500000000.00000000000,200000.00000000000
"12261",12_42_2_2_5m_v2.0,12_42,-9999.00000000000,5.00000000000,2017-05-23,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/12_42/12_42_2_2_5m_v2.0.tar.gz,DEM,0.99207461000,ICESat,"800",0.00500000000,"1","2","5","103",2500000000.00000000000,200000.00000000000
"15183",21_49_1_1_5m_v2.0,21_49,-9999.00000000000,5.00000000000,2017-05-23,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/21_49/21_49_1_1_5m_v2.0.tar.gz,DEM,0.64227853000,ICESat,"779",0.00000000000,"1","2","5","57",2500000000.00000000000,200000.00000000000
"14290",17_46_1_2_5m_v2.0,17_46,-9999.00000000000,5.00000000000,2017-05-22,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/17_46/17_46_1_2_5m_v2.0.tar.gz,DEM,0.85406851000,ICESat,"1018",0.04100000000,"1","2","5","52",2500000000.00000000000,200000.00000000000
"14270",30_35_2_1_5m_v2.0,30_35,-9999.00000000000,5.00000000000,2017-05-22,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/30_35/30_35_2_1_5m_v2.0.tar.gz,DEM,0.00479458000,ICESat,"1498",-0.00200000000,"1","2","5","45",2500000000.00000000000,200000.00000000000
"7846",30_45_2_2_5m_v2.0,30_45,-9999.00000000000,5.00000000000,2017-02-06,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/30_45/30_45_2_2_5m_v2.0.tar,DEM,0.97021584000,ICESat,"843",0.00300000000,"1","2","4","53",2500000000.00000000000,200000.00000000000
"12311",26_44_2_1_5m_v2.0,26_44,-9999.00000000000,5.00000000000,2017-05-06,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/26_44/26_44_2_1_5m_v2.0.tar.gz,DEM,1.00000000000,ICESat,"767",-0.00100000000,"1","2","5","53",2500000000.00000000000,200000.00000000000
"7844",30_45_1_2_5m_v2.0,30_45,-9999.00000000000,5.00000000000,2017-02-06,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/30_45/30_45_1_2_5m_v2.0.tar,DEM,0.99985652000,ICESat,"843",0.00300000000,"1","2","4","53",2500000000.00000000000,200000.00000000000
"7845",30_45_1_1_5m_v2.0,30_45,-9999.00000000000,5.00000000000,2017-02-06,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/30_45/30_45_1_1_5m_v2.0.tar,DEM,0.99998383000,ICESat,"843",0.00300000000,"1","2","4","53",2500000000.00000000000,200000.00000000000
