objectid,name,tile,nd_value,resolution,creationda,raster,fileurl,spec_type,qual,reg_src,num_gcps,meanresz,active,qc,rel_ver,num_comp,st_area_sh,st_length_
"5274",51_14_1_1_5m_v2.0,51_14,-9999.00000000000,5.00000000000,2016-12-11,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/51_14/51_14_1_1_5m_v2.0.tar,DEM,0.87980140000,ICESat,"904",0.00000000000,"1","2","3","29",2500000000.00000000000,200000.00000000000
"5275",51_14_2_1_5m_v2.0,51_14,-9999.00000000000,5.00000000000,2016-12-11,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/51_14/51_14_2_1_5m_v2.0.tar,DEM,0.94362898000,ICESat,"904",0.00000000000,"1","2","3","29",2500000000.00000000000,200000.00000000000
"5276",51_14_2_2_5m_v2.0,51_14,-9999.00000000000,5.00000000000,2016-12-11,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/51_14/51_14_2_2_5m_v2.0.tar,DEM,0.90557555000,ICESat,"904",0.00000000000,"1","2","3","29",2500000000.00000000000,200000.00000000000
"5277",51_14_1_2_5m_v2.0,51_14,-9999.00000000000,5.00000000000,2016-12-11,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/51_14/51_14_1_2_5m_v2.0.tar,DEM,0.99647378000,ICESat,"904",0.00000000000,"1","2","3","29",2500000000.00000000000,200000.00000000000
"5282",43_59_2_1_5m_v2.0,43_59,-9999.00000000000,5.00000000000,2016-09-23,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/43_59/43_59_2_1_5m_v2.0.tar,DEM,0.11599963000,ICESat,"986",0.00000000000,"1","2","3","30",2500000000.00000000000,200000.00000000000
"5283",43_59_1_2_5m_v2.0,43_59,-9999.00000000000,5.00000000000,2016-09-23,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/43_59/43_59_1_2_5m_v2.0.tar,DEM,0.69472292000,ICESat,"986",0.00000000000,"1","2","3","30",2500000000.00000000000,200000.00000000000
"5284",43_59_1_1_5m_v2.0,43_59,-9999.00000000000,5.00000000000,2016-09-23,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/43_59/43_59_1_1_5m_v2.0.tar,DEM,0.01120352000,ICESat,"986",0.00000000000,"1","2","3","30",2500000000.00000000000,200000.00000000000
"5285",43_59_2_2_5m_v2.0,43_59,-9999.00000000000,5.00000000000,2016-09-23,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/43_59/43_59_2_2_5m_v2.0.tar,DEM,0.99261833000,ICESat,"986",0.00000000000,"1","2","3","30",2500000000.00000000000,200000.00000000000
"5286",48_12_2_2_5m_v2.0,48_12,-9999.00000000000,5.00000000000,2016-12-11,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/48_12/48_12_2_2_5m_v2.0.tar,DEM,0.90459919000,ICESat,"983",0.00800000000,"1","2","3","41",2500000000.00000000000,200000.00000000000
"5287",48_12_1_1_5m_v2.0,48_12,-9999.00000000000,5.00000000000,2016-12-11,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/48_12/48_12_1_1_5m_v2.0.tar,DEM,0.96597925000,ICESat,"983",0.00800000000,"1","2","3","41",2500000000.00000000000,200000.00000000000
